POA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA4000,629,46,10,0,0,0,3,688
POA4005,856,65,16,3,0,0,0,945
POA4006,486,31,3,0,0,0,0,522
POA4007,1077,81,25,5,0,0,3,1187
POA4008,10,0,0,0,0,0,0,18
POA4009,0,0,0,0,0,0,0,0
POA4010,146,11,4,3,0,0,0,164
POA4011,1493,99,46,6,0,0,4,1648
POA4012,2098,138,57,27,0,0,3,2329
POA4013,436,38,9,7,0,0,0,494
POA4014,1268,118,55,19,0,0,5,1466
POA4017,4139,349,172,49,6,0,12,4733
POA4018,1221,104,49,15,0,0,6,1394
POA4019,1494,224,98,15,6,0,12,1854
POA4020,1614,186,100,31,4,0,16,1959
POA4021,778,105,72,11,4,3,8,988
POA4022,599,74,49,8,0,0,7,736
POA4025,3,0,0,0,0,0,0,3
POA4029,0,0,0,0,0,0,0,0
POA4030,1475,87,48,9,0,0,6,1625
POA4031,1398,111,46,8,0,0,3,1564
POA4032,1337,105,39,21,0,4,3,1505
POA4034,4565,349,163,66,6,8,17,5169
POA4035,3357,239,102,25,3,0,4,3730
POA4036,704,71,51,15,0,0,0,852
POA4037,1239,87,52,12,0,0,0,1388
POA4051,2861,196,67,19,3,0,3,3149
POA4053,4829,320,171,47,4,4,16,5386
POA4054,1490,122,67,5,3,0,6,1694
POA4055,2827,187,120,24,0,3,9,3173
POA4059,995,70,17,3,0,0,3,1084
POA4060,1693,81,38,3,0,0,0,1821
POA4061,2188,149,64,13,0,0,7,2428
POA4064,903,82,21,5,0,0,4,1006
POA4065,1244,57,22,4,0,0,0,1331
POA4066,1169,69,28,9,0,0,3,1276
POA4067,676,33,6,6,0,0,3,719
POA4068,2243,101,33,22,0,0,6,2409
POA4069,4717,228,116,28,3,0,3,5094
POA4070,1604,105,60,11,0,0,8,1780
POA4072,0,0,0,0,0,0,0,0
POA4073,1339,77,29,10,0,0,0,1454
POA4074,3076,235,99,28,0,0,7,3453
POA4075,2797,163,62,23,0,0,7,3051
POA4076,483,43,14,5,0,0,5,551
POA4077,2790,219,152,98,8,3,24,3308
POA4078,3087,233,154,48,7,3,31,3559
POA4101,1484,132,42,9,0,0,3,1671
POA4102,480,27,11,0,0,0,0,516
POA4103,1066,84,27,11,0,0,9,1199
POA4104,592,35,10,0,0,0,0,632
POA4105,1367,74,22,13,0,0,0,1476
POA4106,105,9,11,0,0,0,0,129
POA4107,635,47,22,12,0,0,3,714
POA4108,497,39,19,11,0,0,4,572
POA4109,3740,186,90,88,9,3,15,4139
POA4110,1087,75,62,31,4,4,13,1269
POA4111,76,5,0,0,0,0,0,86
POA4112,1139,50,22,18,0,0,3,1233
POA4113,3490,177,68,57,9,3,16,3826
POA4114,2214,196,191,81,6,5,38,2736
POA4115,2527,178,92,52,3,3,6,2869
POA4116,3483,177,104,75,3,4,17,3853
POA4117,160,21,9,7,0,0,0,194
POA4118,3312,324,220,61,16,3,27,3956
POA4119,828,39,28,12,0,0,3,909
POA4120,717,40,26,6,0,0,0,795
POA4121,3005,183,69,20,3,0,6,3292
POA4122,4720,283,160,55,0,6,15,5246
POA4123,2230,166,96,28,3,0,12,2539
POA4124,2309,177,171,49,8,0,18,2726
POA4125,769,63,44,26,10,0,3,914
POA4127,2556,240,146,64,7,3,14,3026
POA4128,1955,190,89,33,3,3,10,2284
POA4129,692,72,56,12,0,4,7,847
POA4130,1041,100,60,11,0,0,3,1215
POA4131,899,105,76,20,3,0,10,1107
POA4132,2381,254,273,65,10,4,18,2999
POA4133,1611,181,145,34,4,4,19,1997
POA4151,1512,87,35,11,0,0,5,1653
POA4152,5330,323,123,53,6,0,4,5837
POA4153,578,51,18,6,0,0,3,648
POA4154,1679,130,60,8,0,0,5,1883
POA4155,198,5,10,4,0,0,0,217
POA4156,504,34,7,4,0,0,0,547
POA4157,2093,181,106,31,8,0,14,2429
POA4158,335,21,21,0,0,0,3,382
POA4159,1600,163,104,21,9,0,7,1897
POA4160,2186,162,101,14,4,0,7,2471
POA4161,1720,229,110,22,3,0,14,2097
POA4163,1268,136,64,13,3,0,4,1486
POA4164,1839,174,84,12,4,0,3,2123
POA4165,4135,408,271,31,9,3,22,4880
POA4169,683,60,12,6,0,0,0,768
POA4170,2477,183,80,18,0,4,10,2770
POA4171,1820,108,32,6,4,0,0,1975
POA4172,455,38,22,3,0,0,0,521
POA4173,860,85,50,8,0,3,4,1003
POA4174,268,26,16,0,0,0,4,316
POA4178,2550,259,136,25,6,0,7,2992
POA4179,2160,176,104,26,4,3,9,2474
POA4183,129,12,10,0,0,0,0,147
POA4184,247,56,20,7,0,0,3,328
POA4205,366,42,40,7,3,0,4,460
POA4207,4889,586,405,98,24,8,60,6069
POA4208,2387,262,173,33,9,7,5,2864
POA4209,5750,524,496,76,10,13,30,6900
POA4210,2345,211,127,32,6,0,10,2730
POA4211,6339,644,417,90,12,13,37,7554
POA4212,2918,303,131,44,5,3,12,3413
POA4213,3478,297,166,44,8,3,21,4013
POA4214,3827,362,195,54,3,0,13,4458
POA4215,2918,282,135,41,4,0,16,3405
POA4216,2818,332,126,20,3,0,17,3322
POA4217,2603,258,87,26,0,0,13,2986
POA4218,2472,255,88,17,3,0,14,2856
POA4220,2711,243,119,20,9,0,6,3113
POA4221,2522,252,126,29,7,0,14,2947
POA4222,0,0,0,0,0,0,0,0
POA4223,1417,112,65,14,7,0,14,1627
POA4224,525,50,35,3,0,0,4,612
POA4225,335,26,10,3,0,0,3,381
POA4226,3270,311,128,39,4,0,19,3787
POA4227,2300,214,96,31,3,0,8,2653
POA4228,673,49,24,6,8,0,3,761
POA4229,0,0,0,0,0,0,0,0
POA4230,101,12,7,3,0,0,0,127
POA4270,418,55,24,4,3,0,8,511
POA4271,237,30,14,3,0,0,3,290
POA4272,410,34,13,3,0,0,0,466
POA4275,344,44,23,3,0,0,0,422
POA4280,1962,212,168,30,10,3,21,2407
POA4285,1929,207,159,32,7,3,20,2354
POA4287,57,3,3,0,0,0,5,71
POA4300,6342,616,430,133,13,13,36,7588
POA4301,2675,229,267,95,14,11,29,3311
POA4303,210,17,29,9,8,0,10,286
POA4304,1312,176,112,28,3,0,12,1637
POA4305,5431,652,473,78,9,12,40,6694
POA4306,4055,389,230,56,5,0,27,4762
POA4307,163,18,11,0,0,0,3,190
POA4309,292,14,12,0,0,0,3,324
POA4310,514,46,26,10,0,0,8,603
POA4311,848,80,78,24,3,4,27,1056
POA4312,169,11,15,3,0,0,4,208
POA4313,157,15,18,0,0,0,0,194
POA4340,429,44,58,7,0,0,3,541
POA4341,1240,122,121,20,5,3,20,1535
POA4342,193,25,21,5,0,0,3,244
POA4343,879,69,66,17,3,0,10,1051
POA4344,237,28,12,6,0,0,3,286
POA4345,4,0,0,0,0,0,0,4
POA4346,85,9,7,0,0,0,0,101
POA4347,89,6,9,3,0,0,3,115
POA4350,9004,769,544,108,14,11,73,10517
POA4352,3451,217,171,41,3,6,23,3906
POA4353,37,0,0,0,0,0,0,36
POA4354,109,5,8,0,0,0,0,122
POA4355,190,13,22,3,0,0,4,226
POA4356,491,30,46,6,0,0,6,578
POA4357,207,14,16,0,0,0,0,240
POA4358,248,15,9,4,0,4,3,283
POA4359,124,16,3,3,0,0,3,144
POA4360,64,3,3,0,0,0,3,75
POA4361,245,14,12,3,0,0,3,280
POA4362,215,8,10,5,0,0,0,240
POA4363,64,9,3,0,0,0,0,74
POA4364,22,0,3,0,0,0,0,25
POA4365,35,3,4,0,0,0,3,48
POA4370,1542,140,100,17,4,0,12,1827
POA4371,69,8,3,0,0,0,0,78
POA4372,19,0,0,0,0,0,0,24
POA4373,70,11,7,0,0,0,0,89
POA4374,31,0,3,0,0,0,0,33
POA4375,12,3,0,0,0,0,0,16
POA4376,16,6,0,0,0,0,0,24
POA4377,57,0,0,0,0,0,0,58
POA4378,46,3,4,0,0,0,0,54
POA4380,617,56,37,13,0,0,10,736
POA4381,48,8,7,0,0,0,0,59
POA4382,44,3,3,0,0,0,0,47
POA4383,32,5,7,0,0,0,3,48
POA4384,7,0,0,0,0,0,0,7
POA4385,92,3,5,0,0,0,3,96
POA4387,81,7,4,4,0,0,0,104
POA4388,37,0,0,0,0,0,0,47
POA4390,659,40,31,4,0,3,8,742
POA4400,191,16,17,4,0,0,3,228
POA4401,475,51,39,14,0,0,4,581
POA4402,17,0,0,0,0,0,0,19
POA4403,78,3,3,3,0,0,0,93
POA4404,63,3,7,0,0,0,0,73
POA4405,1373,108,94,16,4,0,8,1594
POA4406,140,3,4,0,0,0,0,153
POA4407,44,5,3,0,0,0,0,53
POA4408,54,3,11,0,0,0,3,66
POA4410,84,4,6,0,0,0,0,100
POA4411,36,0,0,0,0,0,0,34
POA4412,24,0,0,0,0,0,0,23
POA4413,744,39,51,3,0,0,5,846
POA4415,145,19,8,0,0,0,3,171
POA4416,49,3,0,0,0,0,0,54
POA4417,58,5,3,0,0,0,0,70
POA4418,11,0,0,0,0,0,0,10
POA4419,64,4,8,0,0,0,0,78
POA4420,123,6,4,0,0,0,0,134
POA4421,120,10,9,7,0,0,4,146
POA4422,56,7,0,0,0,0,3,63
POA4423,24,0,0,0,0,0,0,24
POA4424,29,0,0,0,0,0,0,29
POA4425,18,0,0,0,0,0,0,17
POA4426,17,0,0,0,0,0,0,19
POA4427,26,3,0,0,0,0,0,31
POA4428,65,5,0,0,0,0,0,78
POA4454,55,0,0,0,0,0,0,56
POA4455,840,49,44,9,3,0,5,943
POA4461,8,0,0,0,0,0,0,8
POA4462,11,0,3,0,0,0,0,13
POA4465,131,4,3,0,0,0,3,141
POA4467,25,0,0,0,0,0,0,25
POA4468,26,0,0,0,0,0,0,26
POA4470,304,25,14,3,0,0,0,344
POA4472,127,3,3,0,0,0,0,139
POA4474,8,0,0,0,0,0,0,10
POA4475,0,0,0,0,0,0,0,0
POA4477,51,0,3,0,0,0,0,55
POA4478,44,0,4,0,0,0,0,50
POA4479,0,0,0,0,0,0,0,0
POA4480,62,0,8,0,0,0,0,74
POA4481,10,0,0,0,0,0,3,11
POA4482,8,0,0,0,0,0,0,9
POA4486,51,8,0,0,0,0,0,62
POA4487,292,17,19,8,0,0,0,334
POA4488,21,0,0,0,0,0,0,23
POA4489,8,0,0,0,0,0,0,11
POA4490,76,9,4,0,0,0,6,92
POA4491,8,0,0,0,0,0,0,8
POA4492,20,5,0,0,0,0,0,26
POA4493,0,0,0,0,0,0,0,0
POA4494,24,0,0,0,0,0,0,26
POA4496,23,3,3,0,0,0,0,33
POA4497,31,3,3,0,0,0,0,40
POA4498,23,0,3,0,0,0,0,25
POA4500,4986,446,313,61,8,5,27,5848
POA4501,480,52,30,10,0,0,6,576
POA4502,1002,81,53,7,5,0,12,1163
POA4503,4346,439,355,60,6,8,31,5240
POA4504,2348,267,189,21,12,4,3,2838
POA4505,2164,226,148,42,7,3,13,2596
POA4506,2005,280,226,34,3,0,28,2573
POA4507,945,149,82,16,3,3,12,1204
POA4508,1540,206,172,47,4,4,21,1993
POA4509,3807,384,235,31,11,0,19,4484
POA4510,3702,494,430,67,22,13,47,4775
POA4511,708,91,66,18,8,0,5,892
POA4512,384,32,23,3,0,0,0,448
POA4514,592,67,45,4,5,3,3,717
POA4515,355,37,26,4,0,0,3,415
POA4516,487,55,29,5,4,0,3,584
POA4517,68,3,4,0,0,0,0,77
POA4518,519,62,37,4,0,0,0,624
POA4519,784,75,68,14,5,3,7,949
POA4520,1833,116,51,15,0,0,6,2017
POA4521,518,38,23,5,3,0,0,593
POA4550,377,50,21,3,0,0,6,465
POA4551,5075,485,282,56,13,5,27,5944
POA4552,587,71,29,14,0,0,4,707
POA4553,705,66,33,5,0,0,3,822
POA4554,210,18,18,0,0,0,0,249
POA4555,734,77,36,6,0,0,0,864
POA4556,4406,357,180,40,3,3,19,5003
POA4557,1782,161,98,15,0,0,11,2063
POA4558,1127,140,52,14,4,0,4,1341
POA4559,706,56,39,7,0,0,0,808
POA4560,2778,267,174,35,4,0,15,3276
POA4561,772,75,36,8,0,0,5,902
POA4562,923,76,27,12,0,0,0,1038
POA4563,764,80,40,10,7,0,3,900
POA4564,919,88,52,10,0,0,5,1072
POA4565,1145,127,63,10,3,0,9,1357
POA4566,595,53,21,3,0,0,6,678
POA4567,927,80,27,4,0,0,0,1038
POA4568,336,28,13,0,0,0,0,386
POA4569,148,14,12,0,0,0,0,170
POA4570,3324,353,278,50,13,5,30,4048
POA4571,61,4,5,0,0,0,0,68
POA4572,255,22,5,0,0,0,0,286
POA4573,2745,236,95,6,3,0,11,3096
POA4574,92,11,6,3,0,0,0,112
POA4575,2202,198,101,28,3,4,9,2545
POA4580,197,22,29,4,0,0,0,253
POA4581,72,7,4,0,0,0,0,86
POA4600,66,8,4,0,0,0,3,79
POA4601,89,7,4,0,0,0,0,104
POA4605,314,20,29,13,6,3,10,399
POA4606,181,12,15,3,0,0,5,216
POA4608,63,7,0,0,0,0,3,76
POA4610,1228,98,93,8,6,4,8,1444
POA4611,13,0,0,0,0,0,0,10
POA4612,12,0,3,0,0,0,0,17
POA4613,51,7,7,0,0,0,3,70
POA4614,71,7,5,0,0,0,0,78
POA4615,456,70,37,4,0,0,12,576
POA4620,29,0,0,0,0,0,0,34
POA4621,126,9,5,0,0,0,3,148
POA4625,210,14,12,10,0,0,0,255
POA4626,177,11,12,7,0,0,3,206
POA4627,54,5,7,0,0,0,0,70
POA4630,184,14,9,0,0,0,3,214
